id;nazwisko;ulica;telefon;dupa
1;Bystroń;Rataja;+48 783 597 641;
2;Hołubowicz;Bema;504 901 678;
3;Pawlonka;Częstochowska;+48 695 147 080;
4;Kustosz;Rybacka;+48 880 151 793;
5;Sibiga;Ceglana;+48 725 097 357;
6;Karpik;Jaśminowa;+48 530 893 044;
7;Szmagaj;Wspólna;+48 884 103 034;
8;Garbaciak;Baczynskiego;+48 885 182 492;
9;Gebauer;Pszenna;+48 660 873 586;
10;Cierpka;Działkowa;608 109 878;
11;Pikula;Młynarska;+48 794 745 524;
12;Jaszczyszyn;Podgórna;+48 32 279 49 26;
13;Pasiut;Mostowa;666 524 317;
14;Gogacz;Strumykowa;+48 572 133 074;
15;Słabosz;Skrajna;+48 725 160 369;
16;Stochel;Wiejska;+48 691 435 900;
17;Ślimak;Krokusowa;693 513 226;
18;Adamaszek;Korczaka;736 038 453;
19;Pacyga;Nałkowskiej;+48 602 729 759;
20;Hejduk;Wiklinowa;+48 601 723 176;
21;Laszczyk;Miłosza;667 954 150;
22;Skalik;Klasztorna;738 550 884;
23;Hadam;Asnyka;602 247 550;
24;Goska;Klasztorna;+48 530 431 414;
25;Hejna;Gałczynskiego;+48 603 985 080;
26;Walencik;Żurawia;+48 730 998 636;
27;Ośko;Wilcza;794 552 852;
28;Dybiec;Batalionów Chłopskich;739 528 846;
29;Nyc;Irysowa;+48 788 269 528;
30;Iwańczyk;Błękitna;22 282 18 07;
31;Pawela;Nowa;692 424 032;
32;Kieszek;Jastrzębia;605 071 700;
33;Leszczyk;Rumiankowa;+48 600 593 797;
34;Elert;Jana Pawła II;22 973 02 86;
35;Piechura;Morcinka;668 791 347;
36;Budrewicz;Jabłoniowa;+48 790 339 533;
37;Strzelczak;Krzywa;+48 507 003 686;
38;Kwapisiewicz;Ludowa;887 820 477;
39;Kolonko;Stroma;+48 574 654 617;
40;Nocek;Przechodnia;+48 32 836 96 25;
41;Dywan;Lelewela;+48 517 186 635;
42;Sobolak;Borówkowa;662 805 157;
43;Sorbian;Wyspiańskiego;783 715 848;
44;Kozłowicz;Skargi;+48 882 809 777;
45;Kurzaj;Letniskowa;+48 690 922 720;
46;Chatys;Wiślana;+48 573 724 141;
47;Piersa;Orzechowa;664 139 839;
48;Hajduga;Zakole;+48 509 488 003;
49;Stein;Jadwigi;605 365 612;
50;Grupa;Perłowa;+48 791 056 667;
51;Szmajda;Moniuszki;519 993 560;
52;Konat;Jasna;735 271 649;
53;Borysiuk;Tęczowa;782 539 703;
54;Lula;Szewska;+48 603 287 112;
55;Karaśkiewicz;Grottgera;799 588 915;
56;Glaza;Żytnia;+48 785 250 242;
57;Jasica;Orzeszkowej;575 097 801;
58;Skocz;Wschodnia;+48 509 309 480;
59;Szczubełek;Storczykowa;669 453 682;
60;Luberda;Nadbrzeżna;+48 888 049 754;
61;Kubowicz;Browarna;575 964 573;
62;Bitner;Krasickiego;+48 736 547 872;
63;Pancerz;Długosza;22 519 04 85;
64;Drożdżal;Morelowa;+48 22 456 49 30;
65;Kasper;Stroma;661 694 657;
66;Bitner;Nadrzeczna;780 164 431;
67;Jezior;Krakowska;695 557 704;
68;Złotnik;Gołębia;+48 32 619 39 43;
