id|imie|nazwisko|firma|email|telefon|miasto|ulica|nr_budynku
1|Kacper|Ciuk|Cudzich s.c.|dagmara53@example.net|579 880 315|Legionowo|Zakole|87/88
2|Bianka|Dybaś|Kustosz Sp.j.|skomuda@example.net|+48 533 979 087|Oleśnica|Kościuszki|54/17
3|Sara|Kubasiak|Stowarzyszenie Czerniec Sp. z o.o.|nycartur@example.org|505 484 908|Nowy Dwór Mazowiecki|Orla|890
4|Juliusz|Furga|Grupa Kasperczak s.c.|elzbietabakiewicz@example.com|696 973 561|Biłgoraj|Bankowa|64
5|Olaf|Mydlarz|Tolak-Jędrys Sp.k.|apietrusiak@example.com|+48 739 856 809|Lublin|Wierzbowa|925
6|Dawid|Siwczak|Teodorowicz-Melka S.A.|julian54@example.net|669 598 889|Kutno|Grunwaldzka|82/19
7|Klara|Latko|Stowarzyszenie Penkala|dominik86@example.org|+48 883 953 792|Kędzierzyn-Koźle|Kasprowicza|39
8|Stefan|Drwięga|Grupa Litwa Sp.j.|patrykogonek@example.com|572 245 833|Lubartów|Średnia|88
9|Maurycy|Gryszkiewicz|Grupa Kiełbik-Pacholak i syn s.c.|artur55@example.org|+48 576 663 920|Gorzów Wielkopolski|Wałowa|96/92
10|Ernest|Jachimczak|Stowarzyszenie Kozdra|fbujko@example.com|+48 574 220 034|Goleniów|Toruńska|05
11|Bianka|Gąszczak|Spółdzielnia Kostera-Sajewicz S.A.|jankowiczjacek@example.net|+48 794 877 250|Lubliniec|Boczna|230
12|Szymon|Pacura|Stowarzyszenie Pędrak-Sprawka Sp. z o.o.|karinapachuta@example.org|+48 22 783 07 70|Ostrów Wielkopolski|Rycerska|66/94
13|Wiktor|Głuszko|Kapral i syn s.c.|amik@example.net|783 750 929|Będzin|Czarnieckiego|067
14|Rafał|Siembab|PPUH Merda Sp.k.|korneliaskrobot@example.com|+48 579 051 120|Kościan|Tylna|63/41
15|Mikołaj|Janisz|Fundacja Getka|wszymaniuk@example.com|+48 22 623 23 37|Zakopane|Konopnickiej|86/66
16|Janina|Frukacz|Stowarzyszenie Snoch-Baka Sp.j.|blanka14@example.com|+48 533 298 642|Bartoszyce|Powstańców Śląskich|30/71
17|Michał|Pasich|Grupa Andreasik-Pyziak s.c.|reckocezary@example.com|+48 32 462 20 39|Kwidzyn|Mokra|09/28
